2026-05-15 17:08:48,159 | INFO | louvores.services.import_service | Já possui letra: CC-227
2026-05-15 17:08:48,160 | INFO | louvores.services.import_service | Já possui letra: CC-579
2026-05-15 17:08:48,160 | INFO | louvores.services.import_service | Já possui letra: CC-013
2026-05-15 17:08:48,162 | INFO | louvores.services.import_service | Já possui letra: CC-123
2026-05-15 17:08:48,163 | INFO | louvores.services.import_service | Já possui letra: CC-168
2026-05-15 17:08:48,164 | INFO | louvores.services.import_service | Já possui letra: CC-046
2026-05-15 17:08:48,164 | INFO | louvores.services.import_service | Já possui letra: CC-328
2026-05-15 17:08:48,183 | INFO | louvores.services.import_service | Letra do hino CC-011 carregada!
2026-05-15 17:08:48,202 | INFO | louvores.services.import_service | Letra do hino CC-012 carregada!
2026-05-15 17:08:48,222 | INFO | louvores.services.import_service | Letra do hino CC-014 carregada!
2026-05-15 17:08:48,242 | INFO | louvores.services.import_service | Letra do hino CC-015 carregada!
2026-05-15 17:08:48,262 | INFO | louvores.services.import_service | Letra do hino CC-016 carregada!
2026-05-15 17:08:48,282 | INFO | louvores.services.import_service | Letra do hino CC-017 carregada!
2026-05-15 17:08:48,297 | INFO | louvores.services.import_service | Letra do hino CC-019 carregada!
2026-05-15 17:08:48,317 | INFO | louvores.services.import_service | Letra do hino CC-020 carregada!
2026-05-15 17:08:48,338 | INFO | louvores.services.import_service | Letra do hino CC-022 carregada!
2026-05-15 17:08:48,357 | INFO | louvores.services.import_service | Letra do hino CC-025 carregada!
2026-05-15 17:08:48,377 | INFO | louvores.services.import_service | Letra do hino CC-026 carregada!
2026-05-15 17:08:48,397 | INFO | louvores.services.import_service | Letra do hino CC-028 carregada!
2026-05-15 17:08:48,417 | INFO | louvores.services.import_service | Letra do hino CC-030 carregada!
2026-05-15 17:08:48,438 | INFO | louvores.services.import_service | Letra do hino CC-031 carregada!
2026-05-15 17:08:48,457 | INFO | louvores.services.import_service | Letra do hino CC-032 carregada!
2026-05-15 17:08:48,477 | INFO | louvores.services.import_service | Letra do hino CC-033 carregada!
2026-05-15 17:08:48,492 | INFO | louvores.services.import_service | Letra do hino CC-034 carregada!
2026-05-15 17:08:48,512 | INFO | louvores.services.import_service | Letra do hino CC-035 carregada!
2026-05-15 17:08:48,532 | INFO | louvores.services.import_service | Letra do hino CC-040 carregada!
2026-05-15 17:08:48,552 | INFO | louvores.services.import_service | Letra do hino CC-041 carregada!
2026-05-15 17:08:48,572 | INFO | louvores.services.import_service | Letra do hino CC-042 carregada!
2026-05-15 17:08:48,592 | INFO | louvores.services.import_service | Letra do hino CC-044 carregada!
2026-05-15 17:08:48,612 | INFO | louvores.services.import_service | Letra do hino CC-048 carregada!
2026-05-15 17:08:48,632 | INFO | louvores.services.import_service | Letra do hino CC-049 carregada!
2026-05-15 17:08:48,652 | INFO | louvores.services.import_service | Letra do hino CC-050 carregada!
2026-05-15 17:08:48,672 | INFO | louvores.services.import_service | Letra do hino CC-051 carregada!
2026-05-15 17:08:48,692 | INFO | louvores.services.import_service | Letra do hino CC-052 carregada!
2026-05-15 17:08:48,712 | INFO | louvores.services.import_service | Letra do hino CC-053 carregada!
2026-05-15 17:08:48,732 | INFO | louvores.services.import_service | Letra do hino CC-054 carregada!
2026-05-15 17:08:48,752 | INFO | louvores.services.import_service | Letra do hino CC-056 carregada!
2026-05-15 17:08:48,772 | INFO | louvores.services.import_service | Letra do hino CC-057 carregada!
2026-05-15 17:08:48,792 | INFO | louvores.services.import_service | Letra do hino CC-058 carregada!
2026-05-15 17:08:48,808 | INFO | louvores.services.import_service | Letra do hino CC-060 carregada!
2026-05-15 17:08:48,827 | INFO | louvores.services.import_service | Letra do hino CC-061 carregada!
2026-05-15 17:08:48,847 | INFO | louvores.services.import_service | Letra do hino CC-062 carregada!
2026-05-15 17:08:48,867 | INFO | louvores.services.import_service | Letra do hino CC-063 carregada!
2026-05-15 17:08:48,888 | INFO | louvores.services.import_service | Letra do hino CC-064 carregada!
2026-05-15 17:08:48,907 | INFO | louvores.services.import_service | Letra do hino CC-065 carregada!
2026-05-15 17:08:48,927 | INFO | louvores.services.import_service | Letra do hino CC-067 carregada!
2026-05-15 17:08:48,947 | INFO | louvores.services.import_service | Letra do hino CC-068 carregada!
2026-05-15 17:08:48,968 | INFO | louvores.services.import_service | Letra do hino CC-070 carregada!
2026-05-15 17:08:48,988 | INFO | louvores.services.import_service | Letra do hino CC-072 carregada!
2026-05-15 17:08:49,007 | INFO | louvores.services.import_service | Letra do hino CC-073 carregada!
2026-05-15 17:08:49,027 | INFO | louvores.services.import_service | Letra do hino CC-074 carregada!
2026-05-15 17:08:49,047 | INFO | louvores.services.import_service | Letra do hino CC-076 carregada!
2026-05-15 17:08:49,062 | INFO | louvores.services.import_service | Letra do hino CC-078 carregada!
2026-05-15 17:08:49,077 | INFO | louvores.services.import_service | Letra do hino CC-080 carregada!
2026-05-15 17:08:49,097 | INFO | louvores.services.import_service | Letra do hino CC-082 carregada!
2026-05-15 17:08:49,117 | INFO | louvores.services.import_service | Letra do hino CC-084 carregada!
2026-05-15 17:08:49,138 | INFO | louvores.services.import_service | Letra do hino CC-085 carregada!
2026-05-15 17:08:49,158 | INFO | louvores.services.import_service | Letra do hino CC-086 carregada!
2026-05-15 17:08:49,177 | INFO | louvores.services.import_service | Letra do hino CC-087 carregada!
2026-05-15 17:08:49,197 | INFO | louvores.services.import_service | Letra do hino CC-088 carregada!
2026-05-15 17:08:49,217 | INFO | louvores.services.import_service | Letra do hino CC-089 carregada!
2026-05-15 17:08:49,238 | INFO | louvores.services.import_service | Letra do hino CC-090 carregada!
2026-05-15 17:08:49,257 | INFO | louvores.services.import_service | Letra do hino CC-091 carregada!
2026-05-15 17:08:49,277 | INFO | louvores.services.import_service | Letra do hino CC-092 carregada!
2026-05-15 17:08:49,297 | INFO | louvores.services.import_service | Letra do hino CC-096 carregada!
2026-05-15 17:08:49,322 | INFO | louvores.services.import_service | Letra do hino CC-097 carregada!
2026-05-15 17:08:49,338 | INFO | louvores.services.import_service | Letra do hino CC-098 carregada!
2026-05-15 17:08:49,357 | INFO | louvores.services.import_service | Letra do hino CC-099 carregada!
2026-05-15 17:08:49,373 | INFO | louvores.services.import_service | Letra do hino CC-100 carregada!
2026-05-15 17:08:49,392 | INFO | louvores.services.import_service | Letra do hino CC-101 carregada!
2026-05-15 17:08:49,412 | INFO | louvores.services.import_service | Letra do hino CC-102 carregada!
2026-05-15 17:08:49,427 | INFO | louvores.services.import_service | Letra do hino CC-103 carregada!
2026-05-15 17:08:49,442 | INFO | louvores.services.import_service | Letra do hino CC-105 carregada!
2026-05-15 17:08:49,457 | INFO | louvores.services.import_service | Letra do hino CC-107 carregada!
2026-05-15 17:08:49,472 | INFO | louvores.services.import_service | Letra do hino CC-109 carregada!
2026-05-15 17:08:49,488 | INFO | louvores.services.import_service | Letra do hino CC-110 carregada!
2026-05-15 17:08:49,502 | INFO | louvores.services.import_service | Letra do hino CC-111 carregada!
2026-05-15 17:08:49,522 | INFO | louvores.services.import_service | Letra do hino CC-114 carregada!
2026-05-15 17:08:49,542 | INFO | louvores.services.import_service | Letra do hino CC-115 carregada!
2026-05-15 17:08:49,562 | INFO | louvores.services.import_service | Letra do hino CC-116 carregada!
