codigo;coletanea;numeracao;titulo;creditos
CC;Cantor Cristão;431;Acode em tempo
CC;Cantor Cristão;432;Avante com Deus
CC;Cantor Cristão;433;A colheita além;Philip Paul Bliss | Emily S Oakey
CC;Cantor Cristão;434;Onde os obreiros
CC;Cantor Cristão;435;Ainda há lugar
CC;Cantor Cristão;436;Dai-nos luz;Charles H.Gabriel
CC;Cantor Cristão;437;As boas-novas
CC;Cantor Cristão;438;Disse Jesus;Horation R.Palmer | Manuel A.de Souza
CC;Cantor Cristão;439;Oração pela pátria;Emily V.Lindsey | Salomão L.Ginsburg
CC;Cantor Cristão;440;A pátria feliz
CC;Cantor Cristão;441;Graça e salvação
CC;Cantor Cristão;442;O missionário
CC;Cantor Cristão;443;Eis os milhões
CC;Cantor Cristão;444;Brasil
CC;Cantor Cristão;445;Deves divulgar
CC;Cantor Cristão;446;Avançai
CC;Cantor Cristão;447;Nunca ouvir de Cristo
CC;Cantor Cristão;448;Ide
CC;Cantor Cristão;449;Ousados proclamai
CC;Cantor Cristão;450;Igreja, alerta
CC;Cantor Cristão;451;Os que confiam
CC;Cantor Cristão;452;Decisão
CC;Cantor Cristão;453;À peleja
CC;Cantor Cristão;454;Vitórias nas lutas;Samuel W.Beazley Manuel Avelino de Souza
CC;Cantor Cristão;455;Heróis
CC;Cantor Cristão;456;O estandarte
CC;Cantor Cristão;457;Confiança em Deus
CC;Cantor Cristão;458;Cristo vos conduz
CC;Cantor Cristão;459;Companheiras
CC;Cantor Cristão;460;Vitória
CC;Cantor Cristão;461;Fujamos da tentação
CC;Cantor Cristão;462;Unidos
CC;Cantor Cristão;463;Triunfo
CC;Cantor Cristão;464;Sempre fiéis
CC;Cantor Cristão;465;Igual a Daniel
CC;Cantor Cristão;466;Lutai por Cristo
CC;Cantor Cristão;467;Avante com alegria
CC;Cantor Cristão;468;Testemunhos
CC;Cantor Cristão;469;Corajosos
CC;Cantor Cristão;470;O combate
CC;Cantor Cristão;471;Vitorioso
CC;Cantor Cristão;472;Frente ousada
CC;Cantor Cristão;473;Firmes na fé
CC;Cantor Cristão;474;Eia, ao combate
CC;Cantor Cristão;475;Lutar
CC;Cantor Cristão;476;Brilho celeste;G.H.Cook H.T.Zelley
CC;Cantor Cristão;477;Como andar
CC;Cantor Cristão;478;O peregrino
CC;Cantor Cristão;479;Vou à pátria
CC;Cantor Cristão;480;Favor;Lowel Mason | Jane Cross Simpson
CC;Cantor Cristão;481;Ao lar celestial
CC;Cantor Cristão;482;Guia, ó Deus
CC;Cantor Cristão;483;Pátria celestial
CC;Cantor Cristão;484;Da linda pátria estou mui longe;Stephen C.Foster | Justus Henry Nelson
CC;Cantor Cristão;485;Livro da vida
CC;Cantor Cristão;486;Doce porvir
CC;Cantor Cristão;487;Precioso é Jesus;Salomão Luiz Ginsburg | Charles Hutchison Gabriel
CC;Cantor Cristão;488;Cada vez mais
CC;Cantor Cristão;489;Céu pra mim;James McGranahan | Pilip Paul Bliss
CC;Cantor Cristão;490;Aleluia sim é céu;James Milton Black | Benjameim Rufino Duarte
CC;Cantor Cristão;491;Como há de ser
CC;Cantor Cristão;492;Meu canto celestial
CC;Cantor Cristão;493;No paraíso
CC;Cantor Cristão;494;Além
CC;Cantor Cristão;495;Redenção
CC;Cantor Cristão;496;Rio da vida
CC;Cantor Cristão;497;Tantos remidos
CC;Cantor Cristão;498;Bela cidade;Otis F.Presbrey | Jonathan Bush Atchinson
CC;Cantor Cristão;499;Tudo feliz
CC;Cantor Cristão;500;Glória pra mim;Charles H.Gabriel
CC;Cantor Cristão;501;O nosso lar;John R.Sweney | Fanny Jane Crosby
CC;Cantor Cristão;502;Um pouco mais
CC;Cantor Cristão;503;Face a face
CC;Cantor Cristão;504;Lá no céu
CC;Cantor Cristão;505;Jerusalém
CC;Cantor Cristão;506;Junto ao trono;George C.Stebbins
CC;Cantor Cristão;507;Minha coroa
CC;Cantor Cristão;508;Terra feliz
CC;Cantor Cristão;509;Verei meu redentor;Benjamim Rufino Duarte
CC;Cantor Cristão;510;Fonte de amor
CC;Cantor Cristão;511;Com Jesus
CC;Cantor Cristão;512;O doce lar
CC;Cantor Cristão;513;Triunfo
CC;Cantor Cristão;514;Paz real
CC;Cantor Cristão;515;Na glória
CC;Cantor Cristão;516;Além da morte
CC;Cantor Cristão;517;Querido lar;William A.Ogden
